stock_code,cash,total_assets,total_liabilities,current_liabilities,accounts_receivable,total_equity,revenue,net_income,revenue_2023,debt_to_asset,receivable_to_asset,roe,revenue_growth,company_name,risk_level,risk_score
000002,88162865022.03,917512076855.03,719061817650.72,15973061991.55,519009439846.78,202666487973.0,343176440712.96,-48703934402.33,465739076702.23,0.7837082865606074,0.5656704177952584,-0.24031567769022832,-0.26315729583418723,000002,High,75.28458200004155
000004,72253879.08,174915979.7,201231027.04,3303428.33,5224577.48,64038621.94,98660353.71,-137217470.76,110048548.32,1.1504439296234295,0.029869069075110926,-2.1427299120921712,-0.10348336969321323,000004,Extreme,71.2948783125128
000007,104696690.43,210858777.29,112543105.81,23845771.17,31328637.96,179254650.17,307276011.84,56456229.02,216387969.48,0.5337368795192069,0.14857639962937302,0.31494987140617287,0.4200235464957328,000007,Medium,42.65253412619887
000008,822829029.72,4454996237.1,5419453699.56,2332334905.56,725931318.23,3030848676.98,2082012354.78,-571026003.3,2511647824.07,1.2164889510855834,0.16294768381275856,-0.18840465630536923,-0.17105721000080232,000008,Extreme,77.27893272789449
000009,7465256292.49,28907976276.0,15993965718.43,1714613972.59,11239670423.9,9914702465.97,20230360494.05,1032323948.08,30706431930.72,0.5532717187023749,0.38880862211137923,0.10412051714342627,-0.34116863399518915,000009,Medium,62.127040525221965
000010,90510275.98,2290547766.15,2568809582.69,158492213.0,102523247.94,301796676.8,842178635.66,44729529.47,302915567.26,1.1214826517273238,0.044759270884939105,0.14821080849621865,1.7802421753291306,000010,Extreme,56.058191111537724
000011,1678116644.12,13302659023.82,6764666389.45,190165458.33,10685045153.41,3361683048.5,2734158884.05,-1287143724.11,2965117025.04,0.5085198663919038,0.8032262673407737,-0.38288669857925184,-0.07789174560045707,000011,Medium,71.11517013128102
000012,3421527482.0,9494687100.0,9975337284.0,1163021299.0,1587828028.0,13535949795.0,15455386401.0,247600543.0,18194864366.0,1.0506230672941292,0.16723331809428454,0.018292070135444826,-0.15056325289894168,000012,Extreme,71.7478557467843
000016,4115767247.73,12074629185.91,19033045421.09,5741171468.26,2694648186.93,2369668838.1,11114763969.59,-3884138773.61,17849331429.24,1.5762840521264077,0.22316612340148803,-1.6391061532143463,-0.37730082419881145,000016,Extreme,91.64068289081753
000017,80974360.59,421682871.12,63100054.85,9900000.0,84349675.0,343761246.16,579869315.88,15838251.53,568481907.92,0.1496386483102923,0.2000310678400695,0.046073406199569844,0.02003125834147485,000017,Low,43.137788406906516
000019,168199291.23,4594312410.23,2608753702.25,1484605101.05,4044998642.52,4919674142.82,5375089846.91,324143607.16,6190005356.82,0.5678224442119296,0.8804361308806817,0.06588721076843478,-0.13165021077278155,000019,Medium,73.71489843689189
000021,7321946745.09,14551054577.04,10642144658.04,5191599900.99,2629809717.77,11876799194.96,14827166508.53,1087504386.21,14264648386.89,0.7313658677929887,0.18072983671709655,0.09156544354740712,0.039434419018486745,000021,High,58.77574167284703
000025,377971359.69,915101179.0,583258134.17,120101444.43,127432191.55,1726884629.56,2613678204.37,139031732.04,1846738841.89,0.637370104590369,0.13925475616724126,0.08051014506708792,0.41529389271690104,000025,Medium,51.43677948804589
000026,518954177.49,2952053912.35,575791682.95,124087754.51,1984486969.74,3391843200.61,3940530934.07,220350184.99,4569690002.99,0.19504782095650744,0.6722394064139017,0.0649647321404396,-0.13768090800652424,000026,Low,57.41011056559702
000027,7794501866.13,34233116190.9,36424852468.45,3060296999.69,1207070348.18,48415711184.88,41213608804.88,2632096051.01,40504495415.84,1.064023861144508,0.035260311724144726,0.05436450248472218,0.017507029325013877,000027,Extreme,66.26804077207066
000028,7408539662.57,37576395698.77,24802407197.79,3016902971.97,7406159009.11,17669528375.65,74378494389.57,237003526.49,75477484620.31,0.6600528533023158,0.197096045839022,0.013413121247571581,-0.014560504185698134,000028,Medium,59.53926375571271
000029,529242725.36,5404377582.72,2528860451.2,1563000.0,3636840229.34,3512112493.42,407022191.44,-377595958.3,530887720.68,0.46792815869968046,0.6729434007291537,-0.10751248970738614,-0.23331775140955216,000029,Low,68.19460729331477
000030,2099935533.36,9333607210.91,7368816083.92,75591278.92,1310628059.1,7933585149.19,16468392260.56,927600915.05,15842626034.79,0.7894928420928871,0.14042031440620453,0.11692077385023161,0.039498895220769076,000030,High,58.877284824478245
000031,27089174413.87,125172594058.41,81406041540.89,2389520714.07,76784578052.09,10595809900.29,35790676999.47,-2559335778.34,36783248051.15,0.650350359463694,0.6134296299416754,-0.24154225136390495,-0.026984323143506853,000031,Medium,70.11609476388777
000032,12000998339.23,58817735026.27,48755567573.66,1187127979.2,1077124945.62,6494762605.59,67389424494.27,820042754.02,56283718641.15,0.8289263017673855,0.018312927982332527,0.1262621598076879,0.19731649082973743,000032,High,55.1958933490903
000034,5650235547.9,36491203677.94,29368087626.1,10381564347.36,12616206356.66,9245179332.39,128166392637.76,777213469.9,119623887693.45,0.8047990930990819,0.34573280914509447,0.0840668895601704,0.07141136364169297,000034,High,64.97150714617864
000035,1444231569.45,5505844123.77,8498492726.57,2828901194.77,279116122.15,10753821805.7,5667336235.45,310408889.98,5323630811.01,1.5435403791909117,0.05069451947340667,0.028864983592667454,0.06456222015417927,000035,Extreme,81.20632757120403
000037,478979221.66,1088131454.51,441164008.74,268615009.19,80234374.79,1485380575.08,442971955.85,63927424.48,589780190.71,0.4054326404328253,0.0737359208370009,0.043037741002205435,-0.24892025397337714,000037,Low,50.41963624858842
000039,21621312000.0,100763425000.0,80856808000.0,11260716000.0,19735685000.0,51619332000.0,177664098000.0,4195157000.0,127809519000.0,0.8024420368799492,0.19586159362883904,0.08127104395694233,0.390069373471314,000039,High,58.03733111348276
000048,874059988.78,2901016298.27,5576361219.44,445401874.81,1718786404.76,4291838163.69,5960479688.87,735172926.25,12417006232.4,1.9222095452429626,0.5924773348515779,0.17129558436516612,-0.5199744948732349,000048,Extreme,100.0
000049,1292121103.14,11491586746.31,7779155736.74,1185994239.17,2201384983.56,6578542940.36,20859251590.68,297120188.32,20284918957.13,0.6769435682359464,0.19156492764298844,0.04516504505840325,0.02831328213653649,000049,Medium,58.68517129032765
000055,1491777341.84,6146558825.91,5191326493.57,1663696422.48,705666408.74,6125803906.35,4424224197.71,146168290.32,4292204716.01,0.8445907117469785,0.1148067445096852,0.02386107889749493,0.030757964830420318,000055,High,62.30378334440991
000056,111122736.31,765175691.33,6629625914.3,313855738.74,80241677.58,357655764.85,657815797.49,-653136199.74,1171704287.31,8.664187832178294,0.1048669978531687,-1.8261587367784322,-0.43858206834745456,000056,Extreme,100.0
000058,1013767043.88,3031615431.47,1912403439.06,19402430.56,1522788361.58,2007073603.17,1711470295.1,50174411.67,1949065511.09,0.630819931581063,0.502302615883445,0.02499879007464093,-0.1219021190607014,000058,Medium,67.076214783259
000060,2675720601.52,18223615595.77,13692420904.35,7288942152.09,11755802462.15,14200254239.92,59862362351.41,1320803678.07,65646655707.48,0.75135588941682,0.6450861740564103,0.09301267820662913,-0.08811253663621005,000060,High,72.22363944511123
000061,1645173007.74,4192141473.2,9707485358.09,5248944717.37,965846423.42,6311350035.35,5628090809.91,558798146.25,5490136004.9,2.315638777972814,0.230394520221842,0.08853860792384516,0.02512775728813899,000061,Extreme,100.0
000062,3209902794.96,12762066117.97,7972143222.71,4965065279.92,2955501932.71,6957811881.07,21953724057.41,272642330.28,20593722009.7,0.6246749663429961,0.2315849099503112,0.039185067797215575,0.06603964291007786,000062,Medium,57.8898486150165
000063,43885348000.0,141787346000.0,82635473000.0,7027070000.0,41257657000.0,72808483000.0,121298752000.0,8355613000.0,124250878000.0,0.582812749735791,0.29098264523549233,0.11476153129024814,-0.023759397498985882,000063,Medium,57.127504315694694
000065,4600246387.65,13755633434.66,11876351371.43,970290563.54,1564263208.2,9458689738.39,19079925410.56,1025920069.12,21487899585.26,0.863380914288194,0.113718006199448,0.10846323301588978,-0.11206186836203336,000065,High,62.1534154418551
000066,3836163758.77,19379271133.21,12153324901.52,1241580579.63,6014531623.32,11236035373.79,14202752494.2,-1427383638.21,13420233900.29,0.6271301339446668,0.3103590213469369,-0.12703623571171907,0.058308864042458323,000066,Medium,60.98979091158884
000068,142432817.65,1518078471.69,1685242189.84,39802448.56,28314840.39,712525669.43,1009783945.13,9275087.56,921171706.71,1.1101153341328298,0.01865176334295718,0.013017197776775964,0.09619513688330915,000068,Extreme,67.48237279430634
000069,30902423552.22,223603716626.63,154552010265.31,3640287677.67,151008968429.56,53188671102.26,54407299587.95,-9720853491.19,55744151176.17,0.6911871260323393,0.675341942914627,-0.18276172894977552,-0.0239819166677255,000069,Medium,72.85898152051311
000070,506711099.23,4175992193.09,3134666695.47,996072265.18,1071661833.75,1501541577.59,4409404867.78,-358493453.06,4937289689.32,0.7506399798009493,0.2566244820867422,-0.23875026733218283,-0.10691793570101499,000070,High,65.00399080320719
000078,3456273633.71,25834823219.04,25579162823.03,10023491526.1,3486933682.12,1795232448.56,30317288483.53,-1167311201.03,36418770306.16,0.9901040392712429,0.13497029387645143,-0.6502284436571593,-0.16753673370454186,000078,High,69.75274586209399
000090,10063847972.92,52829928649.63,36744982974.04,270700000.0,23257598557.29,14589498474.27,21357354258.66,593603080.6,26999299212.99,0.6955334582738898,0.4402352823819854,0.04068701070478035,-0.2089663479715625,000090,Medium,67.94437401986245
000096,791284709.75,1344704519.21,110173357.22,10000000.0,11238511.38,2803670335.39,1977439058.81,99457493.17,2552770352.14,0.08193127608786925,0.008357606611304103,0.035474032704406785,-0.22537526450340387,000096,Low,39.03378027534255
000100,23007773000.0,95373443000.0,111056333000.0,8193283000.0,17594133000.0,53167609000.0,164962838000.0,-4156142000.0,174446172000.0,1.1644366556002388,0.18447622783210207,-0.07817056433739572,-0.054362522784392193,000100,Extreme,75.08863059165364
000151,1159478744.19,2029073560.12,1984121348.26,574951251.67,124690047.13,370041081.38,1226342450.19,-588473725.24,3067328627.17,0.9778459427279997,0.06145171352123173,-1.5902929562452788,-0.6001920239888164,000151,High,71.87359135975895
000153,250820984.69,1965350782.21,2188094915.89,479333465.88,593108354.64,2019573061.58,4284620583.14,157650906.74,4275436713.72,1.1133355611101283,0.3017824400655138,0.07806150207641552,0.0021480541135198597,000153,Extreme,73.9716097418961
000155,5493442361.61,9568483688.82,4351392379.85,781532263.3,276856886.31,10276598592.7,3054861977.34,725548198.7,3312969748.7,0.4547630033517485,0.028934248655665778,0.07060197906488189,-0.07790827895765738,000155,Low,48.380279629898624
000156,6327953582.1,13314069810.13,10437234247.68,73633046.42,1306008596.56,14938165914.22,9394570758.66,541816212.47,9706864632.25,0.7839251556078547,0.09809236508331393,0.036270598116347884,-0.03217247642997285,000156,High,60.385023606709524
000157,13720002463.26,74427969191.66,42985181220.3,1426448440.74,22563554613.11,57137084576.4,45478184506.84,4008812478.08,47074853106.11,0.5775406972291364,0.3031596167162163,0.07016130605543368,-0.03391765441457676,000157,Medium,58.490355227539425
000158,2171264039.48,10922824007.67,9543900204.89,3726796717.12,2022666120.05,5373836896.59,8818335256.03,-617004704.35,9007201323.86,0.8737575738827503,0.18517794653009928,-0.1148164181800017,-0.020968340890715444,000158,High,66.05185928864215
000159,515916104.12,1592696421.98,1301709079.69,612884800.95,75079755.94,2022368712.27,2576415793.29,-438891843.5,4514450378.56,0.8172989288641386,0.04714002926349438,-0.21701870724026753,-0.4292957996557238,000159,High,64.99042659406875
000301,13636446983.07,36926353376.68,92099097347.26,52682163867.62,16873219225.01,34033834904.63,137674557166.85,-2283873644.82,140439738058.63,2.4941292308983614,0.4569424728428748,-0.06710597413485424,-0.019689447801630094,000301,Extreme,100.0
000333,140410308000.0,389063786000.0,351819806000.0,31008549000.0,63339188000.0,216750057000.0,409084266000.0,38757214000.0,373709804000.0,0.9042728176196795,0.16279898124468464,0.17881062887102261,0.09465757018245098,000333,High,60.78131763610742
000338,72066926728.68,184749684708.12,154839470079.67,1741795558.78,35675282801.36,86696358548.97,215690504589.82,14277681970.39,213958475631.13,0.8381041100248471,0.19310064240554572,0.1646860630521791,0.008095164043307476,000338,High,60.7725361441465
000400,5554537046.95,20591189699.51,12408723886.85,78178566.67,2644362782.43,11295271308.57,17089133346.79,1292177503.62,17060896563.04,0.6026229697230795,0.12842204947939104,0.1143998641838371,0.0016550586099426314,000400,Medium,53.412693137981805
000401,6934688088.68,14369358160.88,16175581671.29,2622987684.14,2783327687.4,27661746583.48,25286646897.45,-1135839757.23,28235146548.2,1.1256996652312121,0.193698817736863,-0.04106175124561152,-0.10442657507431878,000401,Extreme,74.65772615110113
000403,1321124262.61,3578948533.75,956971752.28,310489207.3,1233248553.27,7924650751.55,2654684638.93,745042150.36,2328723280.44,0.2673890790145817,0.3445840423913025,0.09401577100596838,0.1399742774196903,000403,Low,47.8861363808739
000404,4076652377.38,9732085226.76,7643270800.48,694412711.3,1774990467.24,4113449525.84,11966527971.76,635013362.42,12889012389.22,0.785368255866024,0.18238542161132806,0.1543749007811941,-0.07157138108048826,000404,High,59.97702450753896
000407,813748845.46,2118052287.41,2787332350.67,838531231.62,399539931.27,2958035331.45,4225821777.57,139010696.24,4677169179.62,1.3159884518613136,0.18863553730232316,0.04699426499813251,-0.0965001231977394,000407,Extreme,78.98568659542157
000408,887987569.99,2086522627.18,822515713.28,20000000.0,427157769.09,13865071905.51,3250800389.88,2569273691.44,5225721163.41,0.3942040707182052,0.20472232772635537,0.1853054718323507,-0.3779231060696859,000408,Low,51.09077457959313
