stock_code,company_name,total_assets,total_liabilities,accounts_receivable,revenue,net_income,total_equity,debt_to_asset,receivable_to_asset,roe,revenue_growth,risk_level,risk_score
000002,000002,917512076855.03,719061817650.72,519009439846.78,343176440712.96,-48703934402.33,202666487973.0,0.7837082865606074,0.5656704177952584,-0.24031567769022832,-0.26315729583418723,High,75.28458200004155
000004,000004,174915979.7,201231027.04,5224577.48,98660353.71,-137217470.76,64038621.94,1.1504439296234295,0.029869069075110926,-2.1427299120921712,-0.10348336969321323,Extreme,71.2948783125128
000007,000007,210858777.29,112543105.81,31328637.96,307276011.84,56456229.02,179254650.17,0.5337368795192069,0.14857639962937302,0.31494987140617287,0.4200235464957328,Medium,42.65253412619887
000008,000008,4454996237.1,5419453699.56,725931318.23,2082012354.78,-571026003.3,3030848676.98,1.2164889510855834,0.16294768381275856,-0.18840465630536923,-0.17105721000080232,Extreme,77.27893272789449
000009,000009,28907976276.0,15993965718.43,11239670423.9,20230360494.05,1032323948.08,9914702465.97,0.5532717187023749,0.38880862211137923,0.10412051714342627,-0.34116863399518915,Medium,62.127040525221965
000010,000010,2290547766.15,2568809582.69,102523247.94,842178635.66,44729529.47,301796676.8,1.1214826517273238,0.044759270884939105,0.14821080849621865,1.7802421753291306,Extreme,56.058191111537724
000011,000011,13302659023.82,6764666389.45,10685045153.41,2734158884.05,-1287143724.11,3361683048.5,0.5085198663919038,0.8032262673407737,-0.38288669857925184,-0.07789174560045707,Medium,71.11517013128102
000012,000012,9494687100.0,9975337284.0,1587828028.0,15455386401.0,247600543.0,13535949795.0,1.0506230672941292,0.16723331809428454,0.018292070135444826,-0.15056325289894168,Extreme,71.7478557467843
000016,000016,12074629185.91,19033045421.09,2694648186.93,11114763969.59,-3884138773.61,2369668838.1,1.5762840521264077,0.22316612340148803,-1.6391061532143463,-0.37730082419881145,Extreme,91.64068289081753
000017,000017,421682871.12,63100054.85,84349675.0,579869315.88,15838251.53,343761246.16,0.1496386483102923,0.2000310678400695,0.046073406199569844,0.02003125834147485,Low,43.137788406906516
000019,000019,4594312410.23,2608753702.25,4044998642.52,5375089846.91,324143607.16,4919674142.82,0.5678224442119296,0.8804361308806817,0.06588721076843478,-0.13165021077278155,Medium,73.71489843689189
000021,000021,14551054577.04,10642144658.04,2629809717.77,14827166508.53,1087504386.21,11876799194.96,0.7313658677929887,0.18072983671709655,0.09156544354740712,0.039434419018486745,High,58.77574167284703
000025,000025,915101179.0,583258134.17,127432191.55,2613678204.37,139031732.04,1726884629.56,0.637370104590369,0.13925475616724126,0.08051014506708792,0.41529389271690104,Medium,51.43677948804589
000026,000026,2952053912.35,575791682.95,1984486969.74,3940530934.07,220350184.99,3391843200.61,0.19504782095650744,0.6722394064139017,0.0649647321404396,-0.13768090800652424,Low,57.41011056559702
